step_file	step_line	baseline	cited_file	old_range	new_range	method	flag	texts_equal	baseline_text	head_text	why
adocs/plan_todo/S020_single_check_computation.md	44	1cf9b26	src/search.cpp	469-469	687-687	HAND	DRIFT	no		const bool is_in_check = is_check(game);	negamax's `const bool is_in_check = is_check(game);`. Line 469 was blank at the baseline, so this citation was wrong before it drifted.
adocs/plan_todo/S020_single_check_computation.md	67	1cf9b26	src/bitboard.cpp	2172-2173	2225-2226	BLOCK	DRIFT	yes	const bool is_check = is_attacked(game_tables(), &game->board, king_index, opponent);	const bool is_check = is_attacked(game_tables(), &game->board, king_index, opponent);	exact block, unique
adocs/plan_todo/S020_single_check_computation.md	188	1cf9b26	src/search.cpp	710-710	961-961	BLOCK	DRIFT	yes	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	exact block, unique
adocs/plan_todo/S020_single_check_computation.md	195	1cf9b26	src/search.cpp	678-678	929-929	BLOCK	DRIFT	yes	const bool is_check_move = is_capture ? false : is_check(game);	const bool is_check_move = is_capture ? false : is_check(game);	exact block, unique
adocs/plan_todo/S022_delta_pruning_quiescence.md	83	7b54f18	src/search.cpp	320-320	469-469	BLOCK	DRIFT	yes	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	exact block, unique
adocs/plan_todo/S022_delta_pruning_quiescence.md	112	7b54f18	src/search.cpp	581-581	824-824	BLOCK	DRIFT	yes	game_phase(&game->board) > 0) {	game_phase(&game->board) > 0) {	exact block, unique
adocs/plan_todo/S022_delta_pruning_quiescence.md	200	7b54f18	tests/test_search.cpp	701-701	993-993	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	exact block, unique
adocs/plan_todo/S022_delta_pruning_quiescence.md	201	7b54f18	tests/test_search.cpp	775-775	1067-1067	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	exact block, unique
adocs/plan_todo/S055_taper_stage_two_once.md	171	7b54f18	tests/test_evaluation.cpp	466-498	467-499	BLOCK	DRIFT	yes	TEST_CASE_FIXTURE(eval_fixture_t, "the unclamped terms are the engine's own") { size_t checked = 0; size_t clamped = 0; for (const std::string& fen : all_test_fens()) { REQUIRE_MESSAGE(load_FEN(fen, &	TEST_CASE_FIXTURE(eval_fixture_t, "the unclamped terms are the engine's own") { size_t checked = 0; size_t clamped = 0; for (const std::string& fen : all_test_fens()) { REQUIRE_MESSAGE(load_FEN(fen, &	exact block, unique
adocs/plan_todo/S082_datagen_qsearch_leaf_labels.md	29	38ad4fe	src/search.cpp	125-125	349-349	HAND	DRIFT	no	}	: evaluate_lazy(&game->board, alpha, beta, &static_eval_is_exact);	the evaluate_lazy() call in quiescence, which is what the sentence says the line does. Line 125 held a bare `}` at the baseline.
