# S236: S095's mate row re-mined on the candidate tree, 2026-09-23.
#
# WHY. S236 gives a late quiet's reduction a fraction of a ply of the move's own
# history. On that tree the row "pruning does not hide a forced mate" carried
# for S095 -- 4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1, depth 11,
# distance 2 -- stopped being true of the shipped build: it reports 3 at depth
# 11 and no mate at 12 (its cells below are `2 2 2 2 2 2 2 2 3 -` for depths
# 3..12, against `2 2 2 2 2 2 2 2 2 -` on the parent, where the case was
# written). A golden whose derivation moved is re-derived by its own script
# (DEC-142); S188 did the same when its check extension stopped the multicut
# row separating, and restored the old row when its H0 reverted the tree.
#
# WHAT RAN. adocs/data/S095_mine_mate_row.py's own procedure, with this
# worktree's paths, kept at .tuning/coord/S236_remine_sweeps.sh:
#   * the candidate set is NOT re-derived -- it is the corpus and the oracle,
#     neither of which moved, and adocs/data/S095_candidates.tsv still holds
#     it: 297 labelled mates, 141 keeping a quiet non-checking non-promotion
#     move of the mating side on the oracle's line
#   * both sweeps are S230_mine_r01_row.py's `depths`, which compiles a
#     throwaway driver against libchesso_engine.a and calls search() once per
#     depth from a cold 4 MB table -- search_fen()'s own shape, not `go depth`
#   * the guard is opened textually at the one call site,
#     `const bool no_tt_move = tt_move == 0;` -> `= true;`, rebuilt, swept,
#     and reverted with a sha check (the S033 protocol)
#   * the pick rule is the script header's, applied by the script: the lowest
#     depth the shipped build reports the mate at and the unguarded build does
#     not, tie-broken by the longest run of consecutive shipped depths
#
# THE RESULT. 103 of the 141 carry a mate the shipped build finds somewhere and
# 28 of those separate the two builds -- the same 28 of 141 S095's own run
# found on its tree, which is a coincidence worth not over-reading.
#
#   take: 8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1
#     depth 9, shipped [d3..d12] all at distance 2, unguarded loses d9 only,
#     longest consecutive run 10
#
# Oracle, fresh process through chess.engine.SimpleEngine at depth 20:
# #+2 for Black in 1386 nodes, pv Kd4 Ke1 Qg1#; python-chess reports the
# position valid, not in check, 30 legal moves, one capture, no promotion, and
# the mating side's own Kd4 on the line is quiet, gives no check and is played
# out of no check -- the class late move reduction may touch.
#
# Red observed with the guard opened and green with it in place:
# .tuning/coord/S236_observe_red.log.
#
# ==== the pick, as the script printed it ====
take: 8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1
  depth 9, shipped profile [d3 d4 d5 d6 d7 d8 d9 d10 d11 d12], unguarded [d3 d4 d5 d6 d7 d8 d10 d11 d12], longest consecutive run 10
MINE-DONE

# ==== every separating candidate, shipped profile against unguarded ====
depth 9	run 10	shipped [d3 d4 d5 d6 d7 d8 d9 d10 d11 d12]	unguarded [d3 d4 d5 d6 d7 d8 d10 d11 d12]	8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1
depth 11	run 9	shipped [d3 d4 d5 d6 d7 d8 d9 d10 d11]	unguarded [d3 d4 d5 d6 d7 d8 d9 d10 d12]	4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1
depth 7	run 6	shipped [d5 d7 d8 d9 d10 d11 d12]	unguarded [d5 d8 d9 d10 d11 d12]	4r1k1/R2b3p/1B1p2p1/P2PpP2/7Q/3q1PP1/6PK/8 w - - 2 36
depth 9	run 4	shipped [d9 d10 d11 d12]	unguarded [d11 d12]	R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50
depth 9	run 4	shipped [d9 d10 d11 d12]	unguarded [d11 d12]	8/8/1P6/P7/5k2/4p2P/2r5/6K1 b - - 0 60
depth 9	run 4	shipped [d9 d10 d11 d12]	unguarded [d11 d12]	7k/5R2/6K1/3R3p/6r1/8/8/8 w - - 3 86
depth 9	run 4	shipped [d9 d10 d11 d12]	unguarded [d10 d11 d12]	6k1/5pp1/6np/1PP1p3/1Q2P1P1/3r1q1P/1B1R4/6K1 b - - 0 42
depth 9	run 4	shipped [d9 d10 d11 d12]	unguarded [d10 d11]	6k1/4rp2/8/p1Q3K1/7P/8/8/8 w - - 7 53
depth 10	run 4	shipped [d9 d10 d11 d12]	unguarded [d9]	8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44
depth 10	run 4	shipped [d3 d4 d5 d6 d10]	unguarded [d3 d4 d5 d6 d11]	1r6/7K/4k3/8/8/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1
depth 10	run 4	shipped [d9 d10 d11 d12]	unguarded [d9 d11 d12]	1r3k2/3Q4/p2N1p2/2pqp3/2P4P/1P4PK/8/1R6 w - - 0 52
depth 10	run 2	shipped [d10 d11]	unguarded [d11]	2r1r1k1/6q1/1pbBp1R1/p2pP3/P1pP3Q/7P/5P2/1R4K1 w - - 1 48
depth 10	run 2	shipped [d7 d10 d11]	unguarded [d7 d11 d12]	1krbrb1Q/2p1p1p1/K1P1P1P1/8/8/8/8/8 w - - 0 1
depth 5	run 1	shipped [d5]	unguarded [none]	rbrbk3/p1p1p2p/P1P1P2P/8/1R2K3/8/8/8 w - - 0 1
depth 6	run 1	shipped [d6]	unguarded [none]	8/4q3/6K1/8/7k/p1p1p3/P1P1P3/RBRB4 b - - 0 1
depth 10	run 1	shipped [d10 d12]	unguarded [d11 d12]	r4rk1/pp3p2/3bn2R/3p1QpN/4p3/P7/2BN2PK/R7 w - - 1 28
depth 10	run 1	shipped [d10]	unguarded [none]	6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48
depth 10	run 1	shipped [d10]	unguarded [none]	5K2/5P1B/3k4/8/1p6/5P2/8/q7 b - - 1 59
depth 11	run 1	shipped [d11]	unguarded [none]	6k1/1b5p/pP3B2/2R5/2P1qb1p/1P3pP1/3r1P1P/5QK1 b - - 7 41
depth 11	run 1	shipped [d11]	unguarded [d12]	4rk2/1R6/6PP/2pR4/3n4/1p4K1/8/8 w - - 3 73
depth 11	run 1	shipped [d11]	unguarded [none]	1q1k1r2/4p2p/p3p2b/6p1/3P4/4PB2/PPr5/R1B1K1R1 b - - 1 31
depth 12	run 1	shipped [d12]	unguarded [d8]	rbrb4/p1p1p3/P1P1P3/8/1k1K4/6Q1/8/8 w - - 0 1
depth 12	run 1	shipped [d12]	unguarded [none]	rbrb4/p1p1p1k1/P1P1P3/6K1/8/3Q4/8/8 w - - 0 1
depth 12	run 1	shipped [d12]	unguarded [none]	r5k1/pp1Q3p/6p1/2n2p2/2pP4/B3R3/6PP/3R2K1 w - - 1 33
depth 12	run 1	shipped [d12]	unguarded [none]	r5k1/5p2/8/2P5/4pp2/1p1n1PPp/7P/1Q5K b - - 0 48
depth 12	run 1	shipped [d12]	unguarded [none]	8/5k2/p6p/1p2r1P1/1P6/P1P1Bp1b/5P1P/6K1 b - - 0 36
depth 12	run 1	shipped [d12]	unguarded [d9]	4N3/8/3P1ppk/4p2p/4P2P/1n1P2P1/Q4PK1/3q4 w - - 5 46
depth 12	run 1	shipped [d12]	unguarded [d11]	2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48

# ==== the two sweeps' own lines for the old row and the new one ====
# depths 3..12, one cell per depth, '-' where no mate is reported
# shipped tree:
#   2 2 2 2 2 2 2 2 3 - 	4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1
#   2 2 2 2 2 2 2 2 2 2 	8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1
# guard opened:
#   2 2 2 2 2 2 2 2 - 2 	4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1
#   2 2 2 2 2 2 - 2 2 2 	8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1
