# adocs/data/ledger_seed.tsv -- the twenty SPRT verdicts taken before DEC-220.
#
# S233. DEC-220 puts the run's result block in the commit that closes a
# verdict, and `tools/ledger.py` reads those blocks out of `git log`. The
# twenty verdicts below predate that decision and are in no commit message, so
# they are seeded here once, copied on 2026-09-19 from `adocs/plan.md`'s
# ledger table as it stood at `0c3f0eb`. **Never rewritten**: a correction to
# a row is a new decision, not an edit, and a verdict taken after 2026-09-19
# belongs in its commit and not in this file.
#
# Columns. `run`, `what`, `wall`, `games`, `bounds` and `verdict` are the six
# table cells verbatim, minus the backticks around `bounds` (`tools/ledger.py`
# puts them back when it prints). `elo` is the Elo estimate the verdict cell
# carries, empty for the eleven rows whose cell carries none. `nelo` is the
# nElo estimate and its interval, read from the step file named in `source`
# and not from the table, which does not carry it; it is the input the class
# rule takes. `class` is `fast` or `slow`.
#
# The class column, and the one place it does not agree with the rule.
# `tools/ledger.py` classifies a run by its nElo interval against the bounds
# pair -- disjoint is fast, overlapping is slow -- and the class of a row
# taken after DEC-220 is that rule's answer. The eleven rows that plan.md's
# "Priced by class" lists cover carry plan.md's own hand classification, which
# is what its published class means were computed from; the rule reproduces
# nine of the eleven and disagrees on S149 (-14.21 +/- 13.56 against
# `{-5, 5}`, interval reaching -0.65, so the rule says slow where plan.md says
# fast) and on S207 (+4.47 +/- 6.72 against `{-5, 0}`, interval reaching
# -2.25, rule slow against plan.md's fast, which plan.md's own prose calls
# "close to the near bound"). Both are recorded as plan.md has them so no
# published figure moves under this step; `tools/ledger.py --audit-seed-class`
# prints the comparison. The nine rows after them carry the rule's answer.
run	what	wall	games	bounds	verdict	elo	nelo	class	source
S093 v1	history malus and gravity	2 h 44 m	6412	{0, 5}	H1		13.63 +/- 8.50	fast	adocs/plan_done/S093_history_malus_and_ageing.md
S093 v2	history persistence across `go`	6 h 35 m	15398	{0, 5}	H0		-2.14 +/- 5.49	slow	adocs/plan_done/S093_history_malus_and_ageing.md
S107	killers for checking quiets	1 h 37 m 52 s	3812	{-5, 0}	H1		16.18 +/- 11.03	fast	adocs/plan_done/S107_killers_for_checking_quiets.md
S149	killer slot dedupe	1 h 05 m	2522	{-5, 5}	H0		-14.21 +/- 13.56	fast	adocs/plan_done/S149_killer_slot_dedupe.md
S108	static evaluation at every node	5 h 26 m 38 s	12774	{-5, 0}	H1		3.13 +/- 6.03	slow	adocs/plan_done/S108_static_eval_at_every_node.md
S165	null-move mate-band guard	7 h 58 m 07 s	18598	{-5, 0}	H1		1.34 +/- 4.99	slow	adocs/plan_done/S165_nmp_mate_band_guard.md
S130	table score as stand pat	7 h 12 m	16784	{0, 5}	**no verdict**		1.48 +/- 5.26	slow	adocs/plan_done/S130_quiescence_tt_score_stand_pat.md
S148	reverse futility depth ceiling	6 h 19 m 35 s	14808	{-5, 0}	H0		-7.31 +/- 5.60	slow	adocs/plan_done/S148_rfp_ceiling_against_deep_mates.md
S207	a repetition before the root is not a draw	4 h 26 m 56 s	10258	{-5, 0}	H1		4.47 +/- 6.72	fast	adocs/plan_done/S207_repetition_before_root.md
S042	en passant key only when capturable, `noob_3moves.epd`	2 h 40 m 45 s	5741	{-5, 0}	H1		9.93 +/- 8.99	fast	adocs/plan_done/S042_en_passant_only_when_capturable.md
S024 v1	one-ply continuation history, unfitted, `noob_3moves.epd`	4 h 10 m 11 s	8954	{0, 5}	H0		-5.48 +/- 7.20	slow	adocs/plan_done/S024_continuation_history.md
S109	late move pruning, futility, history pruning and quiet SEE pruning as one block, `noob_3moves.epd`	37 m 51 s	1364	{0, 5}	**H1**, +46.90 +/- 15.43	+46.90 +/- 15.43	56.76 +/- 18.44	fast	adocs/plan_done/S109_shallow_depth_pruning_block.md
S210 F22	quiescence scores a dead position as a draw, `noob_3moves.epd`	13 h 16 m 30 s	28598	{-5, 0}	H1, +0.01 +/- 3.17	+0.01 +/- 3.17	0.02 +/- 4.03	slow	adocs/plan_done/S210_protocol_and_rules_edge_cases.md
S091	capture SEE pruning in the main search and an extra reduction ply for a losing capture, `noob_3moves.epd`	38 m 11 s	1360	{0, 5}	**H1**, +46.52 +/- 15.43	+46.52 +/- 15.43	56.38 +/- 18.47	fast	adocs/plan_done/S091_see_pruning_main_search.md
S222	one-ply continuation history on its own fitted scale, with plain history's coefficients fitted beside it, one vector, `noob_3moves.epd`	2 h 55 m 08 s	6278	{0, 5}	**H1**, +11.13 +/- 6.90	+11.13 +/- 6.90	13.87 +/- 8.59	fast	adocs/plan_done/S222_continuation_history_own_scale.md
S098 v1	late move reduction scaled by history at its fitted scale (divisor 699, clamp 3), `noob_3moves.epd`	5 h 25 m 46 s	11524	{0, 5}	H0, -2.92 +/- 5.02	-2.92 +/- 5.02	-3.70 +/- 6.34	slow	adocs/plan_done/S098_reduction_refinement.md
S098 v1 leg 2	the same term at the census p90 (divisor 1442, clamp 3), the pre-registered bisection, `noob_3moves.epd`	6 h 10 m 32 s	13078	{0, 5}	H0, -2.34 +/- 4.73	-2.34 +/- 4.73	-2.94 +/- 5.95	slow	adocs/plan_done/S098_reduction_refinement.md
S098 v2	late move reduction adjusted by node type: one ply more at a cut node, when not improving and when the table move is a capture, one less at a PV node, `noob_3moves.epd`	56 m 09 s	1990	{0, 5}	**H1**, +29.05 +/- 11.52	+29.05 +/- 11.52	38.70 +/- 15.26	fast	adocs/plan_done/S098_reduction_refinement.md
S098 v3	the re-search depth after a reduced fail-high: a ply shallower where the score barely beat alpha, a ply deeper where it cleared the node's own best by a margin, `noob_3moves.epd`	2 h 06 m 45 s	4496	{0, 5}	H0, -9.97 +/- 7.56	-9.97 +/- 7.56	-13.40 +/- 10.16	fast	adocs/plan_done/S098_reduction_refinement.md
S098 v3 leg 1	the same rule with the shallower path switched off, the deeper path alone, the pre-registered bisection, `noob_3moves.epd`	6 h 49 m 01 s	14510	{0, 5}	**H1**, +5.75 +/- 4.37	+5.75 +/- 4.37	7.44 +/- 5.65	slow	adocs/plan_done/S098_reduction_refinement.md
