step	line	cite	rev	method	kind	symbol	form	at	why	then
adocs/plan_todo/S020_single_check_computation.md	45	src/search.cpp:687	7862f41	WALK	func	negamax		negamax		const bool is_in_check = is_check(game);
adocs/plan_todo/S020_single_check_computation.md	46	src/search.cpp:415	7862f41	WALK	func	quiescence		quiescence		const bool in_check = is_check(game);
adocs/plan_todo/S020_single_check_computation.md	50	src/search.cpp:687	7862f41	WALK	func	negamax		negamax		const bool is_in_check = is_check(game);
adocs/plan_todo/S020_single_check_computation.md	51	src/search.cpp:765	7862f41	WALK	func	negamax		negamax		if (!is_pv && !is_in_check && static_cast<int>(ply) >= RFP_MIN_PLY &&
adocs/plan_todo/S020_single_check_computation.md	51	src/search.cpp:822	7862f41	WALK	func	negamax		negamax		if (!is_pv && !is_in_check && ply > 0 && prev_move != 0 &&
adocs/plan_todo/S020_single_check_computation.md	51	src/search.cpp:961	7862f41	WALK	func	negamax		negamax		!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {
adocs/plan_todo/S020_single_check_computation.md	52	src/search.cpp:1066	7862f41	WALK	func	negamax		negamax		return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE;
adocs/plan_todo/S020_single_check_computation.md	54	src/search.cpp:875	7862f41	WALK	func	negamax		negamax		size_t moves_count = generate_captures(game_tables(), &game->board, moves);
adocs/plan_todo/S020_single_check_computation.md	55	src/bitboard.cpp:483	7862f41	AUTO	func	generate_moves_impl		generate_moves_impl		static size_t generate_moves_impl(const bb_tables_t* tables,
adocs/plan_todo/S020_single_check_computation.md	55	src/bitboard.cpp:504	7862f41	AUTO	func	generate_moves_impl		generate_moves_impl		const bb_t checkers = attackers_to(tables, board, king_square, opponent);
adocs/plan_todo/S020_single_check_computation.md	56	src/bitboard.cpp:516-531	7862f41	HAND	func	generate_moves_impl		generate_moves_impl	paragraph names attackers_to	bb_t snipers = (get_rook_attacks(tables, king_square, BB_0) & (opp_bitboards[3] | opp_bitboards[4])) | (get_bi
adocs/plan_todo/S020_single_check_computation.md	57	src/search.cpp:882	7862f41	WALK	func	negamax		negamax		generate_quiets(game_tables(), &game->board, moves + moves_count);
adocs/plan_todo/S020_single_check_computation.md	57	src/search.cpp:902	7862f41	WALK	func	negamax		negamax		const size_t added =
adocs/plan_todo/S020_single_check_computation.md	62	src/search.cpp:415	7862f41	WALK	func	quiescence		quiescence		const bool in_check = is_check(game);
adocs/plan_todo/S020_single_check_computation.md	63	src/search.cpp:420	7862f41	WALK	func	quiescence		quiescence		if (!in_check) {
adocs/plan_todo/S020_single_check_computation.md	63	src/search.cpp:454	7862f41	WALK	func	quiescence		quiescence		const size_t n = in_check
adocs/plan_todo/S020_single_check_computation.md	64	src/search.cpp:469	7862f41	WALK	func	quiescence		quiescence		if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }
adocs/plan_todo/S020_single_check_computation.md	64	src/search.cpp:491	7862f41	WALK	func	quiescence		quiescence		int best_value = in_check ? MIN : stand_pat;
adocs/plan_todo/S020_single_check_computation.md	65	src/search.cpp:549	7862f41	WALK	func	quiescence		quiescence		if (in_check && legal_moves == 0) {
adocs/plan_todo/S020_single_check_computation.md	66	src/search.cpp:454-456	7862f41	WALK	func	quiescence		quiescence		const size_t n = in_check ? generate_moves(game_tables(), &game->board, moves) : generate_captures(game_tables
adocs/plan_todo/S020_single_check_computation.md	70	src/search.cpp:929	7862f41	WALK	func	negamax		negamax		const bool is_check_move = is_capture ? false : is_check(game);
adocs/plan_todo/S020_single_check_computation.md	72	src/search.cpp:961	7862f41	WALK	func	negamax		negamax		!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {
adocs/plan_todo/S020_single_check_computation.md	75	src/bitboard.cpp:2225-2226	7862f41	WALK	func	move_to_algebraic		move_to_algebraic		const bool is_check = is_attacked(game_tables(), &game->board, king_index, opponent);
