id	class	origin	built	fast_failed	fast_total	bench	verdict	expected	seconds	failing_tests	note
BASELINE	-	-	yes	0	-	5756104 nodes	-	-	-	-	unmutated worktree, engine oracle
E01_extension_on_every_move	search/extension	S097	yes	1	40	moved	killed	killed	241.3	test_search(Failed)	the ply is added to **every** move instead of the one the verification called singular, so a node that finds one move much better than the rest searches the rest a ply deeper too -- the extension inverted into a node-level deepening, and silent: the tree grows, no count is wrong and nothing crashes
E02_extension_condition_inverted	search/extension	S097	yes	1	40	moved	killed	killed	252.9	test_search(Failed)	the extension fires where the verification **failed high** -- an alternative already clears the bar, which is the one case the table move is not singular in -- and never where it failed low. The comparison is one token and the two readings are exact opposites
E03_extension_dropped	search/extension	S097	yes	1	40	moved	killed	killed	233.8	test_search(Failed)	the verification runs, its answer is recorded, and no ply is ever added: the step wired up and switched off in one line, which is how S095's J02 and S098's T06 are written and for the same reason -- a feature that costs its nodes and buys nothing is what an SPRT would price at zero for a reason that is not the technique
E04_root_gate_dropped	search/extension	S097	yes	1	40	moved	killed	killed	248.1	test_search(Failed)	the root verifies. The root has to produce a move and its table entry is the previous iteration's own answer, so the verification asks whether the move the search is about to play is better than the moves it is about to compare it with -- and it spends a half-depth search of the root to ask
E05_entry_depth_margin_dropped	search/extension	S097	yes	1	40	moved	killed	killed	234.3	test_search(Failed)	any entry is deep enough. A move stored by a search two plies deep decides that a node ten plies deep extends it, which is the condition the published form states first and the one that keeps the verification from being run on a guess. **The `(void)` below is a repair and not decoration**: the gate is the only reader of `tt_entry_depth`, and that local arrived with the fast check's copy-out *after* verdict 1's mutation run, so from the landing on this mutant orphaned it and Release with -Werror refused to compile it -- stillborn, scored as neither killed nor survived, and invisible until the mutants were re-run. Verdict 2 re-ran them, saw it, and fixed it the way S095's J-class and S098's T-class already do
E06_bound_type_gate_widened	search/extension	S097	yes	1	40	moved	killed	killed	237.6	test_search(Failed)	an upper-bound entry is admitted. A TT_ALPHA_NODE score says the position is worth **at most** that much, so subtracting a margin from it builds a bar out of a ceiling and the alternatives are measured against a number nothing certified
E07_recursion_gate_dropped	search/extension	S097	yes	1	40	same	killed	killed	234.1	test_search(Failed)	a node searched under an exclusion starts a verification of its own, so the question becomes what the node is worth without **two** of its moves -- and the answer is fed back as though it were about the first exclusion alone
E08_tt_cutoff_gate_dropped	search/extension	S097	yes	1	40	moved	killed	killed	230.7	test_search(Failed)	the excluded node takes a table cutoff. The entry was written by a search that was allowed to play the very move the verification is asking the node to do without, so it answers the question with the thing being asked about -- and an entry whose lower bound already clears the window fails the verification high every time, vacuously
E09_store_gate_dropped	search/extension	S097	yes	2	40	same	killed	killed	232.6	test_search(Failed) test_mate_carry(Failed)	the excluded node writes its entry. What it computed is the value of a position with one of its moves removed and the key is the position with the move in it, so every later probe of that position -- including the one the verification's own parent is about to make -- reads a score that is wrong by construction and an ordering move that is not the best one
E10_nmp_gate_dropped	search/extension	S097	yes	2	40	moved	killed	killed	234.5	test_search(Failed) test_mate_carry(Failed)	the excluded node passes. A null-move bound answers the verification with no alternative searched at all, which is the one thing that search exists to do -- the node fails high on the pass, the table move is called not singular, and nothing looked at a move
E11_rfp_gate_dropped	search/extension	S097	yes	1	40	moved	killed	killed	235.4	test_search(Failed)	the excluded node runs reverse futility. A static bound can only fail the node high, so inside a verification it can only ever answer "not singular", and it answers without a move having been searched -- at a depth the parent's own reverse futility, with its larger margin, already refused
E12_loop_skip_dropped	search/extension	S097	yes	1	40	moved	killed	killed	232.0	test_search(Failed)	the exclusion excludes nothing: the move loop searches the move it was handed, so the verification measures the node **with** its table move in it and every answer it gives is about a question nobody asked. The condition is kept as `false` rather than deleted so that the loop keeps its shape and the mutant is the rule and not a refactor
E13_verification_depth_full	search/extension	S097	yes	1	40	moved	killed	killed	240.1	test_search(Failed)	the verification runs at the node's own remaining depth instead of about half of it. Every eligible node is then searched twice at full depth, which is the cost the halving exists to avoid -- and it is invisible to a node count read as a total, because the tree it produces is a different one and not simply a bigger one
E14_singular_beta_sign	search/extension	S097	yes	1	40	moved	killed	killed	241.8	test_search(Failed)	the window is a margin **above** the entry's score instead of below it, so the alternatives are asked to clear a bar higher than the move being tested and almost everything looks singular. A sign on one operator, and the symptom is a tree that extends everywhere
E15_no_legal_alternative_return_dropped	search/extension	S097	yes	1	40	same	killed	killed	236.3	test_search(Failed)	a node whose only legal move was excluded reports the terminal score again: mate where it is in check, a draw where it is not. Neither is true -- the move that answers is on the board and this search set it aside -- and the draw half is the dangerous one, reading as a fail-high to a verification whose window sits below zero
E16_entry_mate_band_gate_dropped	search/extension	S097	yes	1	40	moved	killed	killed	233.9	test_search(Failed)	a mate score becomes a verification window. A mate score is a distance and not a value, so a margin subtracted from one is arithmetic across two units, and the window it produces asks the alternatives to clear a mate distance
E18_extend_switch_inverted	search/extension	S097	yes	1	40	moved	killed	killed	233.5	test_search(Failed)	the block reads its own switch the wrong way round, so the whole feature is off at the value that ships and on at the one that switches it off. The switch is what DEC-215 clause 2 asks of a rule whose settings have no off value between them, and a switch read backwards is a switch that proves nothing: the H0 path would flip a default and get the candidate back. Dropping the condition instead is equivalent at the shipped 1 and is declared here rather than written
E17_window_mate_band_gate_dropped	search/extension	S097	yes	1	40	same	killed	killed	235.3	test_search(Failed)	the derived window is not checked in its own right. An entry one point outside the mate band passes the guard above it and still lands inside the band once the margin comes off, so the verification is run against a window that reads as a mate distance to every rule below it
E20_multicut_returns_singular_beta	search/extension	S097	yes	1	40	moved	killed	killed	240.5	test_search(Failed)	the multicut hands back the **bound** the window was set to instead of the fail-soft score the verification actually found. The two are the same sign and within a margin of each other, so no node count and no mate test has to move: what changes is the value every parent above this node reasons with, and the record says the difference is the whole rule -- one engine measured the score form at +6.2 LTC and withdrew the bound form at -0.8. Killed by "the multicut returns the verification's score and searches nothing", which asserts the two are different numbers at its drive before it asserts which one came back
E21_multicut_mate_band_gate_dropped	search/extension	S097	yes	0	40	moved	survived	killed	233.8		the value the multicut returns is not kept out of the mate band. A half-depth search under a window below the entry's score is the instrument that **misses** a mate, and a mate distance out of one is a distance nothing proved: the node ends on it, its parent carries it, and a mate is reported or a real one is hidden behind a fabricated shorter distance. The `beta > -MATE_MIN` term beside it is S165's guard on the node's own window and is a different rule, so it is left in place here. Killed by the mined row of "pruning does not hide a forced mate"
E22_multicut_pv_gate_dropped	search/extension	S097	yes	1	40	same	killed	killed	234.2	test_search(Failed)	the multicut fires at a PV node. That line is reported and played, and the node would end on a score no move of its own was ever searched for -- the house rule every other bound-returning rule in this function follows, reverse futility and the null move alike, and this project's own choice where the published record is silent (DEC-221). Killed by the second leg of "the multicut returns the verification's score and searches nothing", the same drive relabelled
E23_multicut_defender_beta_gate_dropped	search/extension	S097	yes	1	40	same	killed	killed	235.7	test_search(Failed)	the multicut fires at a node whose own beta sits inside the **negative** mate band. That node is inside a mate proof as the defender: every score it can produce clears beta, so a reduced search fails high there by construction and its word says nothing about whether the mate is held -- and the node ends on that word instead of searching. S165 found the same shape in the null move and this guard is its rule applied here. E21 deliberately leaves this term in place, because a guard on the node's own window is a different rule from the guard on the value the node returns, so it needs a mutant of its own. Killed by the third leg of "the multicut returns the verification's score and searches nothing", the same drive with its window moved into the band
X01_extension_on_every_move	search/check_extension	S188	yes	6	40	n/a	killed	killed	1410.3	test_search(Timeout) test_engine(Timeout) test_uci_surface(Timeout) test_mate_breadth(Timeout) test_mate_pv(Timeout) test_mate_carry(Failed)	the ply is added to **every** move at a node inside the window and not only to a move that gives check, which is a node-level deepening wearing the name of an extension: the tree grows, no count is wrong and nothing crashes  [no bench signature: timeout]
X02_extension_dropped	search/check_extension	S188	yes	2	40	moved	killed	killed	131.4	test_search(Failed) test_engine(Failed)	the window is computed, the scan is paid on every capture inside it, and no ply is ever added: the step wired up and switched off in one token, which is how S095's J02, S097's E03 and S098's T06 are written and for the same reason -- a feature that costs its nodes and buys nothing is what an SPRT would price at zero for a reason that is not the technique
X03_root_gate_dropped	search/check_extension	S188	yes	2	40	moved	killed	killed	242.0	test_search(Failed) test_engine(Failed)	the root extends. A root move that gives check is searched a ply deeper than its siblings, so the move the search is about to play is chosen off a deeper look at one class of move -- the comparison the root exists to make, taken at two depths
