step	line	cite	method	baseline	written	then_text	now_text	same	reason
adocs/plan_todo/S020_single_check_computation.md	46	:262	BLOCK	9a063d3	src/search.cpp:415	const bool in_check = is_check(game);	const bool in_check = is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	45	:469	BLOCK	9a063d3	src/search.cpp:687	const bool is_in_check = is_check(game);	const bool is_in_check = is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	51	:511	BLOCK	9a063d3	src/search.cpp:765	if (!is_pv && !is_in_check && static_cast<int>(ply) >= RFP_MIN_PLY &&	if (!is_pv && !is_in_check && static_cast<int>(ply) >= RFP_MIN_PLY &&	yes	
adocs/plan_todo/S020_single_check_computation.md	51	:569	BLOCK	9a063d3	src/search.cpp:822	if (!is_pv && !is_in_check && ply > 0 && prev_move != 0 &&	if (!is_pv && !is_in_check && ply > 0 && prev_move != 0 &&	yes	
adocs/plan_todo/S020_single_check_computation.md	51	:694	BLOCK	9a063d3	src/search.cpp:961	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	yes	
adocs/plan_todo/S020_single_check_computation.md	52	:780	BLOCK	9a063d3	src/search.cpp:1066	return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE;	return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE;	yes	
adocs/plan_todo/S020_single_check_computation.md	54	:614	BLOCK	9a063d3	src/search.cpp:875	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	yes	
adocs/plan_todo/S020_single_check_computation.md	55	:504	BLOCK	9a063d3	src/bitboard.cpp:504	const bb_t checkers = attackers_to(tables, board, king_square, opponent);	const bb_t checkers = attackers_to(tables, board, king_square, opponent);	yes	
adocs/plan_todo/S020_single_check_computation.md	56	:516-531	BLOCK	9a063d3	src/bitboard.cpp:516-531	bb_t snipers = (get_rook_attacks(tables, king_square, BB_0) & / (opp_bitboards[3] | opp_bitboards[4])) | / (get_bishop_attacks(tables, king_square, BB_0) & / (opp_bitboards[2] | opp_bitboards[4])); /  / while (snipers) { / const index_t sniper_square = get_lsb_index(snipers); / snipers &= snipers - 	bb_t snipers = (get_rook_attacks(tables, king_square, BB_0) & / (opp_bitboards[3] | opp_bitboards[4])) | / (get_bishop_attacks(tables, king_square, BB_0) & / (opp_bitboards[2] | opp_bitboards[4])); /  / while (snipers) { / const index_t sniper_square = get_lsb_index(snipers); / snipers &= snipers - 	yes	
adocs/plan_todo/S020_single_check_computation.md	57	:621	BLOCK	9a063d3	src/search.cpp:882	generate_quiets(game_tables(), &game->board, moves + moves_count);	generate_quiets(game_tables(), &game->board, moves + moves_count);	yes	
adocs/plan_todo/S020_single_check_computation.md	57	:641	BLOCK	9a063d3	src/search.cpp:902	const size_t added =	const size_t added =	yes	
adocs/plan_todo/S020_single_check_computation.md	62	:262	BLOCK	9a063d3	src/search.cpp:415	const bool in_check = is_check(game);	const bool in_check = is_check(game);	yes	
